"filename", "language", "SCSS", "HTML", "CSS", "JSON", "Batch", "PostgreSQL", "Markdown", "TypeScript", "JavaScript", "Stylus", "Vue", "XML", "Log", "Shell Script", "comment", "blank", "total"
"c:\repos\hug-moms\docs\.vuepress\dist\guide\import-from-excel.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\repos\hug-moms\docs\.vuepress\dist\guide\index.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\repos\hug-moms\docs\.vuepress\dist\guide\new-delivery-day.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\repos\hug-moms\docs\.vuepress\dist\guide\no-addresses.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\repos\hug-moms\docs\.vuepress\dist\guide\requires-care.html", "HTML", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"c:\repos\hug-moms\docs\.vuepress\dist\guide\use-table.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\repos\hug-moms\docs\.vuepress\dist\guide\volunteers.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\repos\hug-moms\docs\.vuepress\dist\index.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\repos\hug-moms\docs\.vuepress\dist\model.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\repos\hug-moms\docs\.vuepress\enhanceApp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 2, 15
"c:\repos\hug-moms\docs\.vuepress\styles\index.styl", "Stylus", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 8, 0, 30
"c:\repos\hug-moms\docs\.vuepress\styles\palette.styl", "Stylus", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 2, 11
"c:\repos\hug-moms\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\repos\hug-moms\docs\apis.md", "Markdown", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 12, 79
"c:\repos\hug-moms\docs\config\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\repos\hug-moms\docs\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\repos\hug-moms\docs\guide\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 49, 128
"c:\repos\hug-moms\docs\guide\active-deliveries.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 21, 81
"c:\repos\hug-moms\docs\guide\add-family.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25
"c:\repos\hug-moms\docs\guide\add-to-home-screen.md", "Markdown", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 17, 42
"c:\repos\hug-moms\docs\guide\delivery-followup.md", "Markdown", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37
"c:\repos\hug-moms\docs\guide\distribution-map.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"c:\repos\hug-moms\docs\guide\events.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 23, 56
"c:\repos\hug-moms\docs\guide\families.md", "Markdown", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 28, 77
"c:\repos\hug-moms\docs\guide\family-info.md", "Markdown", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 43, 152
"c:\repos\hug-moms\docs\guide\import-from-excel.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\repos\hug-moms\docs\guide\new-delivery-day.md", "Markdown", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 19, 49
"c:\repos\hug-moms\docs\guide\no-addresses.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\repos\hug-moms\docs\guide\requires-care.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 22, 65
"c:\repos\hug-moms\docs\guide\use-table.md", "Markdown", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 35, 83
"c:\repos\hug-moms\docs\guide\volunteers.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 32, 74
"c:\repos\hug-moms\docs\model.md", "Markdown", 0, 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 0, 0, 40, 408
"c:\repos\hug-moms\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\repos\hug-moms\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\repos\hug-moms\e2e\tsconfig.e2e.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\repos\hug-moms\move-db-from-one-to-other.bat", "Batch", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\repos\hug-moms\package-lock.json", "JSON", 0, 0, 0, 21964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21965
"c:\repos\hug-moms\package.json", "JSON", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 125
"c:\repos\hug-moms\proxy.conf.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"c:\repos\hug-moms\publish-all.bat", "Batch", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\repos\hug-moms\src\app\address-input\address-input.component.html", "HTML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\repos\hug-moms\src\app\address-input\address-input.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\address-input\address-input.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 12, 108
"c:\repos\hug-moms\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 2, 47, 164
"c:\repos\hug-moms\src\app\app.component.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 82
"c:\repos\hug-moms\src\app\app.component.scss", "SCSS", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 63
"c:\repos\hug-moms\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 2, 27, 376
"c:\repos\hug-moms\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 23, 146
"c:\repos\hug-moms\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 61, 325
"c:\repos\hug-moms\src\app\asign-family\asign-family.component.html", "HTML", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 175
"c:\repos\hug-moms\src\app\asign-family\asign-family.component.scss", "SCSS", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 93
"c:\repos\hug-moms\src\app\asign-family\asign-family.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1034, 0, 0, 0, 0, 0, 0, 0, 170, 1204
"c:\repos\hug-moms\src\app\asign-family\route-strategy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 1, 33, 265
"c:\repos\hug-moms\src\app\asign-family\send-sms-action.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 37, 212
"c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.html", "HTML", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\assign-escort\assign-escort.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 17, 164
"c:\repos\hug-moms\src\app\auth\auth-service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 66, 372
"c:\repos\hug-moms\src\app\auth\auth-tests.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 17, 247
